0.35        0.440 		0.050 
0.77        0.490 		0.18
0.17        0.510		0.060
0.02       	0.314 		0.048 
0.02      	0.398		0.065 
0.25 		0.3512 		0.0583
0.37 		0.4602 		0.0378
0.25  	    0.3665 		0.0601 
0.37 		0.4031 		0.0586 
0.44 		0.413		0.080 
0.60 		0.390 		0.063 
0.73 		0.437 		0.072 
0.06 		0.423 		0.055 
0.30 		0.407 		0.055 
0.40 		0.419 		0.041 
0.50 		0.427 		0.043 
0.60 		0.433 		0.067 
0.80		0.470 		0.080 
0.35 		0.429 		0.089 
0.18 		0.360 		0.090 
0.38 		0.440 		0.060  
0.32 		0.384 		0.095 
0.32		0.48	 	0.10 
0.57		0.417		0.045 
0.15 		0.490 		0.145 
0.10 		0.370 		0.130
1.40		0.482 		0.116 
0.59		0.488 		0.060 
0.38		0.497 		0.045 
0.51 		0.458 		0.038 
0.61 		0.436 		0.034 
0.38 		0.477 		0.051 
0.51 		0.453 		0.050 
0.61 		0.410 		0.044 
0.76 		0.440 		0.040 
1.05 		0.280 		0.080 
0.32 		0.427 		0.056 
0.57 		0.426 		0.029 
0.727		0.296 		0.0765 
0.02 		0.428 		0.0465 
0.60 		0.550 		0.120
0.86 		0.400 		0.110 
0.1 		0.48 		0.16
0.001		0.505 		0.085
0.85 		0.45 		0.11
0.31        0.384       0.083
0.36        0.409        0.098
0.40        0.461 		0.086
0.44        0.426       0.062
0.48        0.458       0.063
0.52         0.483      0.075
0.56		0.452 		0.063 
0.59		0.452     	0.061
0.64 		0.379		0.054
0.1 		0.376 		0.038
1.52 		0.420      	0.076
1.52 		0.396     	0.079
0.978		0.379    	0.176 
1.23        0.385       0.099
1.526 		0.342    	0.070
1.944 		0.364    	0.106 
0.6 		0.49 		0.12 
0.86 		0.46 		0.09
0.57 		0.501		0.051
0.03 		0.404       0.0815
0.72 		0.454 		0.139
######################################

 


###################################################################
